ds,y
08-06-2017,626.9961
09-06-2017,627.0925
12-06-2017,621.3121
13-06-2017,621.9382
14-06-2017,620.1077
15-06-2017,633.3065
16-06-2017,617.9400
19-06-2017,621.6973
20-06-2017,620.8785
21-06-2017,621.0229
22-06-2017,617.0248
23-06-2017,615.2424
27-06-2017,618.3253
28-06-2017,617.5546
29-06-2017,614.0863
30-06-2017,623.5760
03-07-2017,645.7829
04-07-2017,631.0906
05-07-2017,628.6339
06-07-2017,633.1140
07-07-2017,655.1282
10-07-2017,708.5018
11-07-2017,708.3091
12-07-2017,705.2262
13-07-2017,703.0584
14-07-2017,708.9835
17-07-2017,704.1664
18-07-2017,708.1165
19-07-2017,727.9630
20-07-2017,717.4616
21-07-2017,694.8693
24-07-2017,662.7392
25-07-2017,650.7927
26-07-2017,653.9720
27-07-2017,636.0523
28-07-2017,649.6366
31-07-2017,648.2878
01-08-2017,643.3262
02-08-2017,644.5787
03-08-2017,645.5421
04-08-2017,657.1996
07-08-2017,659.0300
08-08-2017,649.0585
09-08-2017,615.6759
10-08-2017,603.1996
11-08-2017,604.2594
14-08-2017,615.6759
16-08-2017,633.2102
17-08-2017,622.0828
18-08-2017,611.9667
21-08-2017,599.3941
22-08-2017,606.1862
23-08-2017,615.0497
24-08-2017,648.7696
28-08-2017,669.4832
29-08-2017,662.3057
30-08-2017,676.9015
31-08-2017,670.9283
01-09-2017,685.9095
04-09-2017,683.1637
05-09-2017,697.5187
06-09-2017,673.2405
07-09-2017,670.8801
08-09-2017,681.4296
11-09-2017,693.2797
12-09-2017,775.6524
13-09-2017,797.9557
14-09-2017,838.2267
15-09-2017,846.3649
18-09-2017,812.7404
19-09-2017,841.3456
20-09-2017,918.8771
21-09-2017,965.7565
22-09-2017,945.6306
25-09-2017,928.5258
26-09-2017,935.7868
27-09-2017,829.1628
28-09-2017,831.4044
29-09-2017,834.0359
03-10-2017,833.8896
04-10-2017,849.6786
05-10-2017,841.4431
06-10-2017,842.6613
09-10-2017,857.2320
10-10-2017,863.6645
11-10-2017,837.6420
12-10-2017,861.3741
13-10-2017,850.5558
16-10-2017,851.5304
17-10-2017,860.0584
18-10-2017,855.0391
19-10-2017,857.5244
23-10-2017,851.2867
24-10-2017,847.6806
25-10-2017,848.4603
26-10-2017,836.8135
27-10-2017,848.9964
30-10-2017,850.7507
31-10-2017,860.1071
01-11-2017,900.2130
02-11-2017,1045.6758
03-11-2017,1023.1133
06-11-2017,1022.4311
07-11-2017,991.1943
08-11-2017,990.8044
09-11-2017,983.8359
10-11-2017,990.6095
13-11-2017,975.0155
14-11-2017,998.0655
15-11-2017,989.9273
16-11-2017,980.4247
17-11-2017,994.7516
20-11-2017,1020.9692
21-11-2017,1015.7062
22-11-2017,999.0887
23-11-2017,1011.7589
24-11-2017,1019.8970
27-11-2017,1014.7801
28-11-2017,1006.9832
29-11-2017,1020.7741
30-11-2017,1014.5853
01-12-2017,1008.7376
04-12-2017,1008.2014
05-12-2017,997.6755
06-12-2017,994.1182
07-12-2017,994.5081
08-12-2017,1023.7467
11-12-2017,1018.1913
12-12-2017,1036.3682
13-12-2017,1015.7548
14-12-2017,1033.9316
15-12-2017,1023.3082
18-12-2017,1025.8423
19-12-2017,1030.7155
20-12-2017,1032.9083
21-12-2017,1058.5896
22-12-2017,1062.2932
26-12-2017,1060.0028
27-12-2017,1094.9431
28-12-2017,1085.9767
29-12-2017,1070.4800
01-01-2018,1071.1624
02-01-2018,1053.4729
03-01-2018,1071.5034
04-01-2018,1078.4720
05-01-2018,1079.5441
08-01-2018,1087.8771
09-01-2018,1061.6597
10-01-2018,1051.9135
11-01-2018,1073.5989
12-01-2018,1066.0455
15-01-2018,1050.9875
16-01-2018,1065.0222
17-01-2018,1079.4467
18-01-2018,1062.7319
19-01-2018,1070.4313
22-01-2018,1050.5002
23-01-2018,1073.4039
24-01-2018,1074.9147
25-01-2018,1091.8733
29-01-2018,1072.4780
30-01-2018,1052.4983
31-01-2018,1013.0259
01-02-2018,1017.3143
02-02-2018,1002.1588
05-02-2018,1008.3964
06-02-2018,977.7445
07-02-2018,987.5394
08-02-2018,1003.7670
09-02-2018,990.7557
12-02-2018,1010.1995
14-02-2018,1024.0391
15-02-2018,1021.5052
16-02-2018,1019.1174
19-02-2018,990.9993
20-02-2018,988.1730
21-02-2018,981.2044
22-02-2018,993.3871
23-02-2018,1023.4544
26-02-2018,1009.0786
27-02-2018,1009.2736
28-02-2018,999.8685
01-03-2018,992.6074
05-03-2018,986.4186
06-03-2018,987.9780
07-03-2018,965.6591
08-03-2018,977.2571
09-03-2018,973.3586
12-03-2018,988.0755
13-03-2018,1009.1760
14-03-2018,1028.0839
15-03-2018,1057.0303
16-03-2018,1059.5643
19-03-2018,1060.3926
20-03-2018,1066.6304
21-03-2018,1058.3947
22-03-2018,1041.6799
23-03-2018,1011.3690
26-03-2018,1028.4249
27-03-2018,1060.0515
28-03-2018,1062.5369
02-04-2018,1062.6831
03-04-2018,1081.0547
04-04-2018,1068.9207
05-04-2018,1090.3137
06-04-2018,1085.9767
09-04-2018,1101.1808
10-04-2018,1114.6306
11-04-2018,1094.1635
12-04-2018,1092.3605
13-04-2018,1116.4337
16-04-2018,1143.4796
17-04-2018,1150.5944
18-04-2018,1145.0876
19-04-2018,1149.8146
20-04-2018,1163.9467
23-04-2018,1148.5476
24-04-2018,1148.3527
25-04-2018,1131.3942
26-04-2018,1141.5302
27-04-2018,1158.5375
30-04-2018,1167.1143
02-05-2018,1158.6351
03-05-2018,1167.9425
04-05-2018,1161.7051
07-05-2018,1177.8351
08-05-2018,1180.5153
09-05-2018,1164.9701
10-05-2018,1160.0969
11-05-2018,1170.2330
14-05-2018,1142.8949
15-05-2018,1120.6733
16-05-2018,1135.5852
17-05-2018,1136.3160
18-05-2018,1127.2032
21-05-2018,1109.6600
22-05-2018,1093.1401
23-05-2018,1065.6069
24-05-2018,1100.0599
25-05-2018,1119.6986
28-05-2018,1064.4374
29-05-2018,1039.6819
30-05-2018,1024.8677
31-05-2018,1020.8715
01-06-2018,1026.5244
04-06-2018,1020.5793
05-06-2018,1009.1274
06-06-2018,1027.6941
07-06-2018,1032.4696
08-06-2018,1025.4036
11-06-2018,998.6014
12-06-2018,1037.1479
13-06-2018,1013.9031
14-06-2018,1057.2251
15-06-2018,1073.0140
18-06-2018,1072.4780
19-06-2018,1064.1450
20-06-2018,1055.5684
21-06-2018,1029.4482
22-06-2018,1017.7527
25-06-2018,1006.6421
26-06-2018,1016.5345
27-06-2018,993.8258
28-06-2018,974.7719
29-06-2018,1012.2462
02-07-2018,1023.7467
03-07-2018,1058.2485
04-07-2018,1074.3300
05-07-2018,1050.1592
06-07-2018,1046.7479
09-07-2018,1067.7998
10-07-2018,1063.1703
11-07-2018,1093.7249
12-07-2018,1078.2770
13-07-2018,1080.1777
16-07-2018,1042.8982
17-07-2018,1047.3815
18-07-2018,1057.6637
19-07-2018,1050.8414
20-07-2018,1062.9268
23-07-2018,1053.2778
24-07-2018,1056.0068
25-07-2018,1069.1156
26-07-2018,1048.4047
27-07-2018,1075.0121
30-07-2018,1127.2520
31-07-2018,1120.2834
01-08-2018,1134.2206
02-08-2018,1169.8431
03-08-2018,1177.4452
06-08-2018,1162.4360
07-08-2018,1133.0022
08-08-2018,1103.2274
09-08-2018,1086.6587
10-08-2018,1095.7716
13-08-2018,1091.7756
14-08-2018,1125.2542
16-08-2018,1134.8541
17-08-2018,1144.9415
20-08-2018,1215.0658
21-08-2018,1216.0404
23-08-2018,1261.3118
24-08-2018,1267.9880
27-08-2018,1265.0642
28-08-2018,1248.3979
29-08-2018,1244.3533
